DQN game 153, Run time: 0.70 seconds, Score: 0, Best: 1, Epsilon: 0.9268
DQN game 154, Run time: 0.45 seconds, Score: 1, Best: 1, Epsilon: 0.9263
DQN game 155, Run time: 0.95 seconds, Score: 0, Best: 1, Epsilon: 0.9259
DQN game 156, Run time: 0.20 seconds, Score: 1, Best: 1, Epsilon: 0.9254
DQN game 157, Run time: 0.26 seconds, Score: 1, Best: 1, Epsilon: 0.9249
DQN game 158, Run time: 0.75 seconds, Score: 0, Best: 1, Epsilon: 0.9245
DQN game 159, Run time: 0.57 seconds, Score: 0, Best: 1, Epsilon: 0.9240
DQN game 160, Run time: 1.37 seconds, Score: 0, Best: 1, Epsilon: 0.9236
DQN game 161, Run time: 0.56 seconds, Score: 1, Best: 1, Epsilon: 0.9231
DQN game 162, Run time: 0.12 seconds, Score: 0, Best: 1, Epsilon: 0.9226
DQN game 163, Run time: 0.17 seconds, Score: 0, Best: 1, Epsilon: 0.9222
DQN game 164, Run time: 0.43 seconds, Score: 0, Best: 1, Epsilon: 0.9217
DQN game 165, Run time: 0.33 seconds, Score: 0, Best: 1, Epsilon: 0.9213
DQN game 166, Run time: 0.45 seconds, Score: 0, Best: 1, Epsilon: 0.9208
DQN game 167, Run time: 0.16 seconds, Score: 0, Best: 1, Epsilon: 0.9203
DQN game 168, Run time: 0.73 seconds, Score: 0, Best: 1, Epsilon: 0.9199
DQN game 169, Run time: 0.34 seconds, Score: 0, Best: 1, Epsilon: 0.9194
DQN game 170, Run time: 0.84 seconds, Score: 0, Best: 1, Epsilon: 0.9190
DQN game 171, Run time: 0.63 seconds, Score: 1, Best: 1, Epsilon: 0.9185
DQN game 172, Run time: 0.38 seconds, Score: 0, Best: 1, Epsilon: 0.9180
DQN game 173, Run time: 0.42 seconds, Score: 0, Best: 1, Epsilon: 0.9176
DQN game 174, Run time: 1.13 seconds, Score: 0, Best: 1, Epsilon: 0.9171
DQN game 175, Run time: 0.13 seconds, Score: 1, Best: 1, Epsilon: 0.9167
DQN game 176, Run time: 0.34 seconds, Score: 0, Best: 1, Epsilon: 0.9162
DQN game 177, Run time: 0.80 seconds, Score: 0, Best: 1, Epsilon: 0.9157
DQN game 178, Run time: 0.40 seconds, Score: 1, Best: 1, Epsilon: 0.9153
DQN game 179, Run time: 0.26 seconds, Score: 0, Best: 1, Epsilon: 0.9148
DQN game 180, Run time: 0.47 seconds, Score: 0, Best: 1, Epsilon: 0.9144
DQN game 181, Run time: 0.49 seconds, Score: 0, Best: 1, Epsilon: 0.9139
DQN game 182, Run time: 0.20 seconds, Score: 1, Best: 1, Epsilon: 0.9135
DQN game 183, Run time: 0.08 seconds, Score: 1, Best: 1, Epsilon: 0.9130
DQN game 184, Run time: 0.13 seconds, Score: 0, Best: 1, Epsilon: 0.9125
DQN game 185, Run time: 0.14 seconds, Score: 0, Best: 1, Epsilon: 0.9121
DQN game 186, Run time: 0.16 seconds, Score: 0, Best: 1, Epsilon: 0.9116
DQN game 187, Run time: 0.10 seconds, Score: 0, Best: 1, Epsilon: 0.9112
DQN game 188, Run time: 1.56 seconds, Score: 1, Best: 1, Epsilon: 0.9107
DQN game 189, Run time: 0.11 seconds, Score: 1, Best: 1, Epsilon: 0.9103
DQN game 190, Run time: 0.31 seconds, Score: 1, Best: 1, Epsilon: 0.9098
DQN game 191, Run time: 0.54 seconds, Score: 1, Best: 1, Epsilon: 0.9094
DQN game 192, Run time: 0.26 seconds, Score: 1, Best: 1, Epsilon: 0.9089
